test_time_second,voltage_volt,current_ampere,cycle_count,step_index,power_watt,temperature_t1_celsius,temperature_t2_celsius,temperature_t3_celsius
440.000,3.8133,0.0000,1,1,0.0000,26.6,26.5,26.5
450.000,3.8133,0.0000,1,1,0.0000,26.5,26.5,26.6
460.000,3.8133,0.0000,1,1,0.0000,26.5,26.5,26.6
470.000,3.8133,0.0000,1,1,0.0000,26.5,26.5,26.6
480.000,3.8133,0.0000,1,1,0.0000,26.5,26.5,26.5
490.000,3.8133,0.0000,1,1,0.0000,26.6,26.5,26.5
500.000,3.8133,0.0000,1,1,0.0000,26.5,26.5,26.6
510.000,3.8133,0.0000,1,1,0.0000,26.5,26.5,26.6
520.000,3.8133,0.0000,1,1,0.0000,26.6,26.5,26.6
530.000,3.8133,0.0000,1,1,0.0000,26.5,26.5,26.6
540.000,3.8133,0.0000,1,1,0.0000,26.6,26.5,26.6
550.000,3.8133,0.0000,1,1,0.0000,26.6,26.5,26.6
560.000,3.8133,0.0000,1,1,0.0000,26.5,26.5,26.6
570.000,3.8133,0.0000,1,1,0.0000,26.6,26.5,26.5
580.000,3.8133,0.0000,1,1,0.0000,26.5,26.5,26.6
590.000,3.8133,0.0000,1,1,0.0000,26.5,26.5,26.6
600.000,3.8133,0.0000,1,1,0.0000,26.6,26.5,26.6
610.000,3.8133,0.0000,1,1,0.0000,26.5,26.5,26.6
620.000,3.8133,0.0000,1,1,0.0000,26.5,26.5,26.7
630.000,3.8133,0.0000,1,1,0.0000,26.5,26.5,26.6
640.000,3.8133,0.0000,1,1,0.0000,26.6,26.5,26.6
650.000,3.8133,0.0000,1,1,0.0000,26.5,26.5,26.6
660.000,3.8133,0.0000,1,1,0.0000,26.5,26.3,26.6
670.000,3.8133,0.0000,1,1,0.0000,26.5,26.5,26.6
680.000,3.8133,0.0000,1,1,0.0000,26.5,26.5,26.6
690.000,3.8133,0.0000,1,1,0.0000,26.5,26.5,26.6
700.000,3.8133,0.0000,1,1,0.0000,26.5,26.5,26.7
710.000,3.8133,0.0000,1,1,0.0000,26.5,26.5,26.7
720.000,3.8133,0.0000,1,1,0.0000,26.5,26.3,26.7
730.000,3.8133,0.0000,1,1,0.0000,26.6,26.5,26.6
740.000,3.8133,0.0000,1,1,0.0000,26.6,26.3,26.6
750.000,3.8133,0.0000,1,1,0.0000,26.5,26.5,26.6
760.000,3.8133,0.0000,1,1,0.0000,26.5,26.5,26.6
770.000,3.8133,0.0000,1,1,0.0000,26.5,26.5,26.6
780.000,3.8133,0.0000,1,1,0.0000,26.6,26.5,26.7
790.000,3.8133,0.0000,1,1,0.0000,26.5,26.5,26.6
800.000,3.8133,0.0000,1,1,0.0000,26.6,26.5,26.6
810.000,3.8133,0.0000,1,1,0.0000,26.5,26.5,26.6
820.000,3.8133,0.0000,1,1,0.0000,26.5,26.5,26.6
830.000,3.8133,0.0000,1,1,0.0000,26.6,26.5,26.6
840.000,3.8133,0.0000,1,1,0.0000,26.6,26.5,26.6
850.000,3.8133,0.0000,1,1,0.0000,26.6,26.5,26.6
860.000,3.8133,0.0000,1,1,0.0000,26.6,26.5,26.6
870.000,3.8133,0.0000,1,1,0.0000,26.6,26.5,26.7
880.000,3.8133,0.0000,1,1,0.0000,26.6,26.5,26.6
890.000,3.8133,0.0000,1,1,0.0000,26.6,26.5,26.6
900.000,3.8133,0.0000,1,1,0.0000,26.6,26.5,26.6
910.000,3.8133,0.0000,1,1,0.0000,26.6,26.5,26.6
920.000,3.8133,0.0000,1,1,0.0000,26.6,26.5,26.6
930.000,3.8133,0.0000,1,1,0.0000,26.6,26.5,26.6
940.000,3.8133,0.0000,1,1,0.0000,26.6,26.5,26.5
950.000,3.8133,0.0000,1,1,0.0000,26.6,26.5,26.5
960.000,3.8133,0.0000,1,1,0.0000,26.5,26.5,26.6
970.000,3.8133,0.0000,1,1,0.0000,26.6,26.5,26.5
980.000,3.8133,0.0000,1,1,0.0000,26.6,26.5,26.5
990.000,3.8133,0.0000,1,1,0.0000,26.5,26.5,26.6
1000.000,3.8133,0.0000,1,1,0.0000,26.6,26.5,26.6
1010.000,3.8133,0.0000,1,1,0.0000,26.6,26.5,26.6
1020.000,3.8133,0.0000,1,1,0.0000,26.6,26.5,26.6
1030.000,3.8133,0.0000,1,1,0.0000,26.6,26.5,26.6
1040.000,3.8133,0.0000,1,1,0.0000,26.6,26.5,26.5
1050.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
1060.000,3.8133,0.0000,1,1,0.0000,26.4,26.4,26.6
1070.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
1080.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
1090.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.5
1100.000,3.8133,0.0000,1,1,0.0000,26.5,26.5,26.6
1110.000,3.8133,0.0000,1,1,0.0000,26.5,26.5,26.6
1120.000,3.8133,0.0000,1,1,0.0000,26.5,26.5,26.6
1130.000,3.8133,0.0000,1,1,0.0000,26.5,26.5,26.6
1140.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
1150.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
1160.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
1170.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
1180.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
1190.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
1200.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.5
1210.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
1220.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.5
1230.000,3.8133,0.0000,1,1,0.0000,26.4,26.4,26.6
1240.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
1250.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
1260.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
1270.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
1280.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
1290.000,3.8133,0.0000,1,1,0.0000,26.5,26.5,26.6
1300.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
1310.000,3.8133,0.0000,1,1,0.0000,26.5,26.5,26.6
1320.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
1330.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
1340.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
1350.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
1360.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
1370.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
1380.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
1390.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
1400.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
1410.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
1420.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
1430.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
1440.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
1450.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
1460.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
1470.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
1480.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
1490.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
1500.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
1510.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
1520.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
1530.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
1540.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
1550.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
1560.000,3.8133,0.0000,1,1,0.0000,26.5,26.5,26.5
1570.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.5
1580.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.5
1590.000,3.8132,0.0000,1,1,0.0000,26.5,26.4,26.5
1600.000,3.8133,0.0000,1,1,0.0000,26.5,26.5,26.5
1610.000,3.8133,0.0000,1,1,0.0000,26.5,26.5,26.5
1620.000,3.8133,0.0000,1,1,0.0000,26.5,26.5,26.5
1630.000,3.8133,0.0000,1,1,0.0000,26.5,26.5,26.5
1640.000,3.8133,0.0000,1,1,0.0000,26.5,26.5,26.5
1650.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.5
1660.000,3.8133,0.0000,1,1,0.0000,26.4,26.4,26.5
1670.000,3.8133,0.0000,1,1,0.0000,26.4,26.3,26.5
1680.000,3.8133,0.0000,1,1,0.0000,26.4,26.5,26.5
1690.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.5
1700.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.5
1710.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.5
1720.000,3.8133,0.0000,1,1,0.0000,26.5,26.5,26.5
1730.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.5
1740.000,3.8133,0.0000,1,1,0.0000,26.4,26.4,26.5
1750.000,3.8133,0.0000,1,1,0.0000,26.4,26.3,26.5
1760.000,3.8133,0.0000,1,1,0.0000,26.4,26.4,26.5
1770.000,3.8133,0.0000,1,1,0.0000,26.4,26.3,26.5
1780.000,3.8133,0.0000,1,1,0.0000,26.4,26.3,26.5
1790.000,3.8133,0.0000,1,1,0.0000,26.4,26.3,26.5
1800.000,3.8133,0.0000,1,1,0.0000,26.4,26.4,26.5
1810.000,3.8133,0.0000,1,1,0.0000,26.4,26.4,26.5
1820.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.5
1830.000,3.8133,0.0000,1,1,0.0000,26.5,26.5,26.5
1840.000,3.8133,0.0000,1,1,0.0000,26.5,26.5,26.5
1850.000,3.8133,0.0000,1,1,0.0000,26.5,26.5,26.5
1860.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.5
1870.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.5
1880.000,3.8133,0.0000,1,1,0.0000,26.5,26.5,26.5
1890.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.5
1900.000,3.8133,0.0000,1,1,0.0000,26.5,26.5,26.5
1910.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.5
1920.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.5
1930.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.5
1940.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.5
1950.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.5
1960.000,3.8133,0.0000,1,1,0.0000,26.5,26.5,26.5
1970.000,3.8133,0.0000,1,1,0.0000,26.5,26.5,26.5
1980.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.5
1990.000,3.8133,0.0000,1,1,0.0000,26.5,26.5,26.6
2000.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
2010.000,3.8133,0.0000,1,1,0.0000,26.5,26.5,26.5
2020.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.5
2030.000,3.8133,0.0000,1,1,0.0000,26.5,26.5,26.5
2040.000,3.8133,0.0000,1,1,0.0000,26.4,26.4,26.5
2050.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.5
2060.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.5
2070.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
2080.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
2090.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.5
2100.000,3.8133,0.0000,1,1,0.0000,26.5,26.5,26.6
2110.000,3.8133,0.0000,1,1,0.0000,26.5,26.5,26.6
2120.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
2130.000,3.8133,0.0000,1,1,0.0000,26.4,26.5,26.6
2140.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.5
2150.000,3.8133,0.0000,1,1,0.0000,26.5,26.5,26.5
2160.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
2170.000,3.8133,0.0000,1,1,0.0000,26.5,26.5,26.6
2180.000,3.8133,0.0000,1,1,0.0000,26.4,26.4,26.6
2190.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
2200.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
2210.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
2220.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
2230.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
2240.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
2250.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
2260.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
2270.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
2280.000,3.8133,0.0000,1,1,0.0000,26.5,26.5,26.6
2290.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
2300.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
2310.000,3.8133,0.0000,1,1,0.0000,26.5,26.5,26.6
2320.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
2330.000,3.8133,0.0000,1,1,0.0000,26.5,26.5,26.6
2340.000,3.8133,0.0000,1,1,0.0000,26.4,26.4,26.6
2350.000,3.8133,0.0000,1,1,0.0000,26.4,26.4,26.6
2360.000,3.8133,0.0000,1,1,0.0000,26.4,26.4,26.6
2370.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
2380.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
2390.000,3.8133,0.0000,1,1,0.0000,26.5,26.5,26.6
2400.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
2410.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.5
2420.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
2430.000,3.8133,0.0000,1,1,0.0000,26.4,26.4,26.6
2440.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
2450.000,3.8133,0.0000,1,1,0.0000,26.5,26.5,26.6
2460.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
2470.000,3.8133,0.0000,1,1,0.0000,26.4,26.4,26.6
2480.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
2490.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
2500.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
2510.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
2520.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.5
2530.000,3.8133,0.0000,1,1,0.0000,26.4,26.4,26.5
2540.000,3.8133,0.0000,1,1,0.0000,26.4,26.5,26.6
2550.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
2560.000,3.8133,0.0000,1,1,0.0000,26.4,26.4,26.6
2570.000,3.8132,0.0000,1,1,0.0000,26.4,26.4,26.5
2580.000,3.8133,0.0000,1,1,0.0000,26.5,26.5,26.6
2590.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
2600.000,3.8133,0.0000,1,1,0.0000,26.4,26.4,26.6
2610.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.5
2620.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
2630.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
2640.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
2650.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
2660.000,3.8133,0.0000,1,1,0.0000,26.5,26.5,26.6
2670.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
2680.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
2690.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
2700.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
2710.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
2720.000,3.8132,0.0000,1,1,0.0000,26.5,26.5,26.6
2730.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
2740.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
2750.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.5
2760.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.5
2770.000,3.8133,0.0000,1,1,0.0000,26.4,26.4,26.6
2780.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
2790.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.5
2800.000,3.8133,0.0000,1,1,0.0000,26.4,26.5,26.5
2810.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.5
2820.000,3.8133,0.0000,1,1,0.0000,26.5,26.5,26.5
2830.000,3.8133,0.0000,1,1,0.0000,26.5,26.5,26.5
2840.000,3.8132,0.0000,1,1,0.0000,26.5,26.4,26.5
2850.000,3.8132,0.0000,1,1,0.0000,26.5,26.5,26.5
2860.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.5
2870.000,3.8133,0.0000,1,1,0.0000,26.5,26.5,26.5
2880.000,3.8133,0.0000,1,1,0.0000,26.5,26.5,26.5
2890.000,3.8133,0.0000,1,1,0.0000,26.5,26.5,26.5
2900.000,3.8133,0.0000,1,1,0.0000,26.5,26.5,26.5
2910.000,3.8133,0.0000,1,1,0.0000,26.5,26.5,26.5
2920.000,3.8133,0.0000,1,1,0.0000,26.4,26.4,26.5
2930.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.5
2940.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.5
2950.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.5
2960.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.5
2970.000,3.8133,0.0000,1,1,0.0000,26.5,26.5,26.5
2980.000,3.8133,0.0000,1,1,0.0000,26.5,26.5,26.5
2990.000,3.8133,0.0000,1,1,0.0000,26.5,26.5,26.5
3000.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.5
3010.000,3.8133,0.0000,1,1,0.0000,26.5,26.5,26.5
3020.000,3.8133,0.0000,1,1,0.0000,26.5,26.5,26.5
3030.000,3.8133,0.0000,1,1,0.0000,26.5,26.5,26.5
3040.000,3.8133,0.0000,1,1,0.0000,26.5,26.5,26.5
3050.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.5
3060.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.5
3070.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.5
3080.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.5
3090.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.5
3100.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.5
3110.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.5
3120.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.5
3130.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.4
3140.000,3.8133,0.0000,1,1,0.0000,26.5,26.5,26.5
3150.000,3.8133,0.0000,1,1,0.0000,26.5,26.5,26.4
3160.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.5
3170.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
3180.000,3.8133,0.0000,1,1,0.0000,26.5,26.5,26.5
3190.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.5
3200.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
3210.000,3.8133,0.0000,1,1,0.0000,26.4,26.4,26.6
3220.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.5
3230.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
3240.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
3250.000,3.8132,0.0000,1,1,0.0000,26.5,26.4,26.6
3260.000,3.8133,0.0000,1,1,0.0000,26.4,26.4,26.6
3270.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
3280.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
3290.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
3300.000,3.8132,0.0000,1,1,0.0000,26.5,26.4,26.6
3310.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
3320.000,3.8133,0.0000,1,1,0.0000,26.5,26.5,26.5
3330.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
3340.000,3.8132,0.0000,1,1,0.0000,26.5,26.4,26.5
3350.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.5
3360.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
3370.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
3380.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
3390.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
3400.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.5
3410.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
3420.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
3430.000,3.8133,0.0000,1,1,0.0000,26.5,26.5,26.6
3440.000,3.8133,0.0000,1,1,0.0000,26.5,26.5,26.6
3450.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
3460.000,3.8133,0.0000,1,1,0.0000,26.5,26.5,26.5
3470.000,3.8133,0.0000,1,1,0.0000,26.5,26.5,26.5
3480.000,3.8133,0.0000,1,1,0.0000,26.5,26.5,26.5
3490.000,3.8132,0.0000,1,1,0.0000,26.5,26.4,26.5
3500.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.5
3510.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.5
3520.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.5
3530.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.5
3540.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.5
3550.000,3.8133,0.0000,1,1,0.0000,26.5,26.5,26.5
3560.000,3.8133,0.0000,1,1,0.0000,26.5,26.5,26.5
3570.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.5
3580.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.5
3590.000,3.8133,0.0000,1,1,0.0000,26.5,26.5,26.5
3600.000,3.8133,0.0000,1,1,0.0000,26.5,26.5,26.5
3610.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.5
3620.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.5
3630.000,3.8133,0.0000,1,1,0.0000,26.5,26.5,26.5
3640.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.5
3650.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.5
3660.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.5
3670.000,3.8133,0.0000,1,1,0.0000,26.4,26.4,26.5
3680.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.5
3690.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.5
3700.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.5
3710.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.5
3720.000,3.8133,0.0000,1,1,0.0000,26.4,26.5,26.5
3730.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.5
3740.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.5
3750.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.5
3760.000,3.8133,0.0000,1,1,0.0000,26.5,26.5,26.5
3770.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.5
3780.000,3.8133,0.0000,1,1,0.0000,26.5,26.5,26.5
3790.000,3.8133,0.0000,1,1,0.0000,26.5,26.5,26.5
3800.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.5
3810.000,3.8133,0.0000,1,1,0.0000,26.4,26.3,26.5
3820.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.5
3830.000,3.8133,0.0000,1,1,0.0000,26.4,26.3,26.5
3840.000,3.8133,0.0000,1,1,0.0000,26.4,26.3,26.5
3850.000,3.8133,0.0000,1,1,0.0000,26.4,26.4,26.5
